col_0,col_1,text_lower,text_contacts_masked,text_numbers,text_stripped,text_whitespace,text_stopwords_removed,text_clean
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","go until jurong point, crazy.. available only in bugis n great world la e buffet... cine there got amore wat...","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Go until jurong point, crazy.. Available only bugis n great world la e buffet... Cine there got amore wat...","go until jurong point, crazy.. available only in bugis n great world la e buffet... cine there got amore wat"
ham,Ok lar... Joking wif u oni...,ok lar... joking wif u oni...,Ok lar... Joking wif u oni...,Ok lar... Joking wif u oni...,Ok lar... Joking wif u oni,Ok lar... Joking wif u oni...,Ok lar... Joking wif u oni...,ok lar... joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in <NUM> a wkly comp to win FA Cup final tkts 21st May <NUM>. Text FA to <NUM> to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry 2 wkly comp win FA Cup final tkts 21st May 2005. Text FA 87121 receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry in <NUM> a wkly comp to win fa cup final tkts 21st may <NUM>. text fa to <NUM> to receive entry question(std txt rate)t&c's apply 08452810075over18's
ham,U dun say so early hor... U c already then say...,u dun say so early hor... u c already then say...,U dun say so early hor... U c already then say...,U dun say so early hor... U c already then say...,U dun say so early hor... U c already then say,U dun say so early hor... U c already then say...,U dun say so early hor... U c already then say...,u dun say so early hor... u c already then say
ham,"Nah I don't think he goes to usf, he lives around here though","nah i don't think he goes to usf, he lives around here though","Nah I don't think he goes to usf, he lives around here though","Nah I don't think he goes to usf, he lives around here though","Nah I don't think he goes to usf, he lives around here though","Nah I don't think he goes to usf, he lives around here though","Nah I don't think goes usf, lives around here though","nah i don't think he goes to usf, he lives around here though"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","freemsg hey there darling it's been 3 week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send, £1.50 to rcv","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","FreeMsg Hey there darling it's been <NUM> week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £<NUM>.<NUM> to rcv","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","FreeMsg Hey there darling it's been 3 week's now no word back! I'd like some fun you up still? Tb ok! XxX std chgs send, £1.50 rcv","freemsg hey there darling it's been <NUM> week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send, £<NUM>.<NUM> to rcv"
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even my brother is not like to speak with me. they treat me like aids patent.,Even my brother is not like to speak with me. They treat me like aids patent.,Even my brother is not like to speak with me. They treat me like aids patent.,Even my brother is not like to speak with me. They treat me like aids patent,Even my brother is not like to speak with me. They treat me like aids patent.,Even my brother not like speak me. They treat me like aids patent.,even my brother is not like to speak with me. they treat me like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *<NUM> to copy your friends Callertune,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' been set your callertune all Callers. Press *9 copy your friends Callertune,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *<NUM> to copy your friends callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER!! As a valued network customer you have been selected to receivea £<NUM> prize reward! To claim call <NUM>. Claim code KL341. Valid <NUM> hours only.,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER!! As valued network customer you have been selected receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner!! as a valued network customer you have been selected to receivea £<NUM> prize reward! to claim call <NUM>. claim code kl341. valid <NUM> hours only
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile <NUM> months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on <NUM>,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile 11 months or more? U R entitled Update latest colour mobiles camera Free! Call The Mobile Update Co FREE 08002986030,had your mobile <NUM> months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on <NUM>
